VOC              TOG
000000   10300225  1.02
000000   10300226  1.02
000000   10300305  1.02
000000   10300306  1.02
000000   10300307  1.02
000000   10300309  1.02
000000   10300401  1.12
000000   10300402  1.12
000000   10300403  1.12
000000   10300404  1.12
000000   10300601  2.27
000000   10300602  2.27
000000   10300603  2.27
000000   10300701  1.40
000000   10300799  1.40
000000   10300901  1.77
000000   10300902  1.77
000000   10300903  1.77
000000   10301001  2.27
000000   10301002  2.27
000000   10301201  5.92
000000   10301202  5.92
000000   10301301  5.92
000000   10301302  1.12
000000   10301303  5.92
000000   10500102  1.02
000000   10500106  2.27
000000   10500110  2.27
000000   10500113  1.12
000000   10500114  1.12
000000   10500202  1.02
000000   10500206  2.27
000000   10500209  1.77
000000   10500210  2.27
000000   10500213  1.12
000000   10500214  1.12
000000   20100101  1.12
000000   20100102  1.17
000000   20100201  3.33
000000   20100202 10.75
000000   20100702 10.75
000000   20100801  3.33
000000   20100802 10.75
000000   20100901  1.12
000000   20100902  1.12
000000   20101001  1.12
000000   20190099  2.00
000000   20200101  1.12
000000   20200102  1.17
000000   20200103  1.12
000000   20200104  1.17
000000   20200201  3.33
000000   20200202 10.75
000000   20200203  3.33
000000   20200204 10.75
000000   20200301  1.13
000000   20200401  1.17
000000   20200501  1.17
000000   20200901  1.12
000000   20200902  1.12
000000   20201001 10.75
000000   20201002 10.75
000000   20300101  1.17
000000   20300102  1.12
000000   20300201 10.75
000000   20300202 10.75
000000   20300203  3.33
000000   20300204  3.33
000000   20300301  1.13
000000   20301001 10.75
000000   20301002 10.75
000000   20400101  1.12
000000   20400102  1.12
000000   20400110  1.12
000000   20400111  1.22
000000   20400112  1.22
000000   20400201  1.90
000000   20400202  1.11
000000   20400301  3.33
000000   20400302 10.75
000000   20400401  1.13
000000   20400402  1.17
000000   28888801  1.90
000000   28888802  1.90
000000   28888803  1.90
000000   30100104  1.12
000000   30100106  1.12
000000   30100108  1.12
000000   30100109  1.12
000000   30100305  1.12
000000   30100306  2.27
000000   30100307  1.12
000000   30100308  1.12
000000   30100309  1.12
000000   30100399  1.12
000000   30100501  1.29
000000   30100502  1.12
000000   30100503  1.29
000000   30100504  1.29
000000   30100506  1.12
000000   30100507  2.27
000000   30100508  1.12
000000   30100509  1.12
000000   30100599  1.29
000000   30100601  1.25
000000   30100603  1.25
000000   30100604  1.25
000000   30100605  1.12
000000   30100699  1.12
000000   30100799  1.12
000000   30100801  1.12
000000   30100802  1.12
000000   30100803  1.12
000000   30100804  1.12
000000   30100805  1.12
000000   30100899  1.12
000000   30100901  1.31
000000   30100902  1.31
000000   30100910  1.31
000000   30100999  1.31
000000   30101011  1.12
000000   30101012  1.12
000000   30101013  1.12
000000   30101014  1.12
000000   30101015  5.92
000000   30101021  1.12
000000   30101022  1.12
000000   30101023  5.92
000000   30101030  5.92
000000   30101099  5.92
000000   30101101  1.12
000000   30101198  1.12
000000   30101199  1.12
000000   30101202  2.27
000000   30101203  1.12
000000   30101204  1.12
000000   30101205  1.12
000000   30101206  1.12
000000   30101299  1.12
000000   30101301  1.12
000000   30101302  1.12
000000   30101303  1.12
000000   30101304  1.12
000000   30101399  1.12
000000   30101402  1.12
000000   30101403  1.12
000000   30101601  1.12
000000   30101602  1.12
000000   30101603  1.12
000000   30101699  1.12
000000   30101702  1.12
000000   30101703  1.12
000000   30101704  1.12
000000   30101705  1.12
000000   30101706  1.12
000000   30101707  1.12
000000   30101708  1.12
000000   30101799  1.12
000000   30101815  1.12
000000   30101816  1.12
000000   30101818  1.12
000000   30101820  1.12
000000   30101821  1.12
000000   30101852  1.59
000000   30101864  1.12
000000   30101865  1.12
000000   30101866  1.12
000000   30101871  1.12
000000   30101881  1.12
000000   30101882  1.12
000000   30101883  1.12
000000   30101884  1.12
000000   30101902  1.12
000000   30101905  1.12
000000   30101906  1.12
000000   30102002  1.15
000000   30102003  1.15
000000   30102004  1.15
000000   30102005  1.15
000000   30102099  1.15
000000   30102101  1.12
000000   30102102  1.12
000000   30102103  1.12
000000   30102104  2.27
000000   30102105  1.22
000000   30102106  1.12
000000   30102107  1.12
000000   30102108  1.12
000000   30102110  2.27
000000   30102111  2.27
000000   30102112  1.12
000000   30102113  1.12
000000   30102114  1.12
000000   30102120  2.27
000000   30102199  1.12
000000   30102201  1.12
000000   30102301  1.12
000000   30102304  1.12
000000   30102306  1.12
000000   30102308  1.12
000000   30102310  1.12
000000   30102312  1.12
000000   30102314  1.12
000000   30102316  1.12
000000   30102318  1.12
000000   30102319  1.12
000000   30102320  1.12
000000   30102321  1.12
000000   30102322  1.12
000000   30102399  1.12
000000   30102405  1.59
000000   30102425  1.12
000000   30102426  1.12
000000   30102501  1.12
000000   30102599  1.12
000000   30102610  1.12
000000   30102611  1.12
000000   30102612  1.12
000000   30102701  1.12
000000   30102704  1.12
000000   30102705  1.12
000000   30102706  1.12
000000   30102707  1.12
000000   30102708  1.12
000000   30102709  1.12
000000   30102710  1.12
000000   30102711  1.12
000000   30102712  1.12
000000   30102713  1.12
000000   30102714  1.12
000000   30102717  1.12
000000   30102718  1.12
000000   30102720  1.12
000000   30102721  1.12
000000   30102722  1.12
000000   30102723  1.12
000000   30102724  1.12
000000   30102725  1.12
000000   30102727  1.12
000000   30102728  1.12
000000   30102729  1.12
000000   30102730  1.12
000000   30102801  1.12
000000   30102803  1.12
000000   30102804  1.12
000000   30102805  1.12
000000   30102806  1.12
000000   30102807  1.12
000000   30102820  1.12
000000   30102821  1.12
000000   30102822  1.12
000000   30102823  1.12
000000   30102824  1.12
000000   30102825  1.12
000000   30102903  1.12
000000   30102904  1.12
000000   30102905  1.12
000000   30102906  1.12
000000   30102907  1.12
000000   30102908  1.12
000000   30102920  1.12
000000   30102921  1.12
000000   30102922  1.12
000000   30102923  1.12
000000   30102924  1.12
000000   30102925  1.12
000000   30103001  2.27
000000   30103002  1.12
000000   30103003  1.12
000000   30103004  1.12
000000   30103020  1.12
000000   30103021  1.12
000000   30103022  1.12
000000   30103023  1.12
000000   30103024  1.12
000000   30103025  1.12
000000   30103099  1.12
000000   30103105  1.21
000000   30103180  1.12
000000   30103201  1.12
000000   30103202  1.12
000000   30103203  1.12
000000   30103204  1.12
000000   30103299  1.12
000000   30103411  1.12
000000   30103412  1.12
000000   30103501  1.12
000000   30103502  1.12
000000   30103503  1.12
000000   30103506  1.12
000000   30103507  1.12
000000   30103510  1.12
000000   30103515  1.12
000000   30103520  1.12
000000   30103550  1.12
000000   30103551  1.12
000000   30103552  1.12
000000   30103553  1.12
000000   30103554  1.12
000000   30103599  1.12
000000   30103801  1.12
000000   30103901  1.12
000000   30103902  1.12
000000   30103903  1.12
000000   30104001  1.12
000000   30104002  1.12
000000   30104003  1.12
000000   30104004  1.12
000000   30104005  1.12
000000   30104006  1.12
000000   30104007  1.12
000000   30104008  1.12
000000   30104009  1.12
000000   30104010  1.12
000000   30104011  1.12
000000   30104012  1.12
000000   30104013  1.12
000000   30104101  1.12
000000   30104102  1.12
000000   30104103  1.12
000000   30104104  1.12
000000   30104199  1.12
000000   30104201  1.12
000000   30104202  1.12
000000   30104203  1.12
000000   30104204 83.33
000000   30104301  1.12
000000   30104501  1.12
000000   30106001  1.12
000000   30106002  1.12
000000   30106003  1.12
000000   30106004  1.12
000000   30106005  1.12
000000   30106006  1.12
000000   30106007  1.12
000000   30106008  1.12
000000   30106009  1.12
000000   30106010  1.12
000000   30106011  1.12
000000   30106012  1.12
000000   30106099  1.12
000000   30107001  1.12
000000   30107002  1.12
000000   30110004  1.12
000000   30110080  1.12
000000   30111103  1.26
000000   30111199  1.26
000000   30111201  1.12
000000   30111202  1.12
000000   30111299  1.12
000000   30111301  1.12
000000   30111401  1.12
000000   30112001  1.04
000000   30112002  1.04
000000   30112005  1.04
000000   30112006  1.04
000000   30112007  1.04
000000   30112404  1.12
000000   30112405  1.12
000000   30112501  1.04
000000   30112504  1.17
000000   30112505  1.12
000000   30112506  1.28
000000   30112509  1.04
000000   30112510  7.52
000000   30112511  7.52
000000   30112512  7.52
000000   30112514  7.52
000000   30112515  1.12
000000   30112541  1.12
000000   30112547  1.12
000000   30112699  1.12
000000   30112701  1.59
000000   30112702  1.25
000000   30112703  1.12
000000   30112720  5.03
000000   30112730  2.77
000000   30113004  2.27
000000   30113005  2.27
000000   30113201  7.52
000000   30113205  1.12
000000   30113701  1.05
000000   30113799  1.12
000000   30114001  1.12
000000   30114002  1.12
000000   30114003  1.12
000000   30115201  1.12
000000   30115601  1.01
000000   30115603  1.01
000000   30115604  1.01
000000   30115606  1.01
000000   30115607  1.01
000000   30115608  1.01
000000   30115609  1.01
000000   30115610  1.01
000000   30115680  1.01
000000   30115701  1.82
000000   30115702  1.12
000000   30115703  1.82
000000   30115704  1.12
000000   30115705  1.82
000000   30115706  1.82
000000   30115780  1.82
000000   30116902  1.12
000000   30116903  1.12
000000   30116904  1.12
000000   30116905  1.12
000000   30116906  1.12
000000   30117401  2.11
000000   30117402  2.11
000000   30117411  2.11
000000   30117421  1.32
000000   30117480  2.11
000000   30117601  1.12
000000   30117610  1.12
000000   30117611  1.12
000000   30117612  1.12
000000   30117613  1.12
000000   30117614  1.12
000000   30117615  1.12
000000   30117616  1.12
000000   30117617  1.12
000000   30117618  1.12
000000   30117630  1.12
000000   30117631  1.12
000000   30117632  1.12
000000   30117633  1.12
000000   30117634  1.12
000000   30117680  1.12
000000   30118109  1.12
000000   30118110  1.12
000000   30119001  1.02
000000   30119002  1.02
000000   30119003  1.02
000000   30119004  1.02
000000   30119010  1.02
000000   30119011  1.02
000000   30119012  1.02
000000   30119080  1.02
000000   30119473  2.01
000000   30119701  2.01
000000   30119705  1.12
000000   30119706  1.12
000000   30119707  1.12
000000   30119708  1.12
000000   30119709  1.12
000000   30119710  1.12
000000   30119741  2.01
000000   30119742  1.12
000000   30119743  2.01
000000   30119744  1.12
000000   30119745  2.01
000000   30119749  2.01
000000   30119799  1.12
000000   30120501  1.06
000000   30120502  1.06
000000   30120503  1.06
000000   30120504  1.06
000000   30120505  1.06
000000   30120506  1.06
000000   30120507  1.06
000000   30120508  1.06
000000   30120509  1.12
000000   30120523  1.12
000000   30120543  1.12
000000   30120601  1.39
000000   30120602  1.69
000000   30120680  1.39
000000   30121001  1.12
000000   30121002  1.12
000000   30121003  1.12
000000   30121004  1.12
000000   30121005  1.12
000000   30121006  1.12
000000   30121007  1.12
000000   30121008  1.12
000000   30121009  1.12
000000   30121010  1.12
000000   30121080  1.12
000000   30125001  7.52
000000   30125002  7.52
000000   30125004  7.52
000000   30125015  1.12
000000   30125020  1.76
000000   30125021  1.76
000000   30125025  1.76
000000   30125099  1.76
000000   30125104  1.12
000000   30125301  1.12
000000   30125302  1.12
000000   30125305  7.52
000000   30125306  7.52
000000   30125330  1.12
000000   30125380  1.12
000000   30125401  1.12
000000   30125411  1.12
000000   30125417  1.12
000000   30125499  1.12
000000   30130110  1.12
000000   30130301  1.12
000000   30130302  1.12
000000   30130303  1.12
000000   30130304  1.12
000000   30130305  1.12
000000   30130380  1.12
000000   30130401  1.12
000000   30130402  1.12
000000   30130403  1.12
000000   30130404  1.12
000000   30130405  1.12
000000   30130480  1.12
000000   30140101  1.12
000000   30140102  1.12
000000   30140103  1.12
000000   30180001  1.12
000000   30181001  1.12
000000   30182001  1.12
000000   30182002  2.54
000000   30182003  2.54
000000   30183001  1.12
000000   30184001  1.12
000000   30187001  1.12
000000   30187002  1.12
000000   30187003  1.12
000000   30187004  1.12
000000   30187005  1.12
000000   30187006  1.12
000000   30187007  1.12
000000   30187008  1.12
000000   30187009  1.12
000000   30187010  1.12
000000   30187097  1.12
000000   30187098  1.12
000000   30187501  1.12
000000   30187502  1.12
000000   30187597  1.12
000000   30187598  1.12
000000   30188501  1.12
000000   30188502  1.12
000000   30188503  1.12
000000   30188504  1.12
000000   30188505  1.12
000000   30188599  1.12
000000   30188801  1.12
000000   30188802  1.12
000000   30188803  1.12
000000   30188804  1.12
000000   30188805  1.12
000000   30190002  1.12
000000   30190003  2.27
000000   30190004  1.40
000000   30190012  1.12
000000   30190013  2.27
000000   30190014  1.40
000000   30199998  1.12
000000   30199999  1.12
000000   30200102  1.12
000000   30200103  1.12
000000   30200104  1.12
000000   30200203  1.12
000000   30200301  1.12
000000   30200401  1.12
000000   30200402  1.12
000000   30200403  1.12
000000   30200404  1.12
000000   30200410  1.12
000000   30200503  1.12
000000   30200504  1.12
000000   30200505  1.12
000000   30200506  1.12
000000   30200507  1.12
000000   30200508  1.12
000000   30200509  1.12
000000   30200510  1.12
000000   30200511  1.12
000000   30200512  1.12
000000   30200603  1.12
000000   30200604  1.12
000000   30200605  1.12
000000   30200606  1.12
000000   30200607  1.12
000000   30200608  1.12
000000   30200609  1.12
000000   30200610  1.12
000000   30200611  1.12
000000   30200703  1.12
000000   30200704  1.12
000000   30200705  1.12
000000   30200711  1.12
000000   30200712  1.12
000000   30200713  1.12
000000   30200714  1.12
000000   30200721  1.12
000000   30200722  1.12
000000   30200723  1.12
000000   30200724  1.12
000000   30200731  1.12
000000   30200732  1.12
000000   30200733  1.12
000000   30200734  1.12
000000   30200741  1.12
000000   30200742  1.12
000000   30200743  1.12
000000   30200744  1.12
000000   30200745  1.12
000000   30200751  1.12
000000   30200752  1.12
000000   30200753  1.12
000000   30200754  1.12
000000   30200755  1.12
000000   30200756  1.12
000000   30200760  1.12
000000   30200771  1.12
000000   30200772  1.12
000000   30200773  1.12
000000   30200774  1.12
000000   30200781  1.12
000000   30200782  1.12
000000   30200783  1.12
000000   30200784  1.12
000000   30200785  1.12
000000   30200786  1.12
000000   30200787  1.12
000000   30200788  1.12
000000   30200789  1.12
000000   30200790  1.12
000000   30200791  1.12
000000   30200802  1.12
000000   30200803  1.12
000000   30200804  1.12
000000   30200805  1.12
000000   30200806  1.12
000000   30200901  1.12
000000   30200903  1.12
000000   30200904  1.12
000000   30200905  1.12
000000   30201001  1.12
000000   30201103  1.12
000000   30201301  1.77
000000   30202101  1.12
000000   30202102  1.12
000000   30202105  1.12
000000   30202106  1.12
000000   30202601  1.12
000000   30203103  1.12
000000   30203104  1.12
000000   30203105  1.12
000000   30203106  1.12
000000   30203107  1.12
000000   30203108  1.12
000000   30203109  1.12
000000   30203110  1.12
000000   30203111  1.12
000000   30290002  1.12
000000   30290003  2.27
000000   30300001  1.12
000000   30300002  2.27
000000   30300003  1.00
000000   30300101  1.00
000000   30300102  1.00
000000   30300103  1.00
000000   30300104  1.12
000000   30300105  1.00
000000   30300106  1.12
000000   30300107  1.00
000000   30300108  1.12
000000   30300109  1.12
000000   30300110  1.12
000000   30300111  1.12
000000   30300199  2.14
000000   30300201  2.27
000000   30300302  2.14
000000   30300303  2.14
000000   30300304  2.14
000000   30300305  2.14
000000   30300306  2.14
000000   30300307  1.12
000000   30300308  2.14
000000   30300309  1.12
000000   30300310  1.12
000000   30300311  1.12
000000   30300312  1.12
000000   30300313  2.14
000000   30300314  2.14
000000   30300315  1.12
000000   30300316  1.12
000000   30300399  2.14
000000   30300401  2.14
000000   30300502  1.12
000000   30300503  1.12
000000   30300504  1.12
000000   30300505  1.12
000000   30300506  1.12
000000   30300507  1.12
000000   30300508  1.12
000000   30300509  1.12
000000   30300510  1.12
000000   30300511  1.12
000000   30300512  1.12
000000   30300513  1.12
000000   30300514  1.12
000000   30300515  1.12
000000   30300516  1.12
000000   30300517  1.12
000000   30300518  1.12
000000   30300519  1.12
000000   30300521  1.12
000000   30300522  1.12
000000   30300523  1.12
000000   30300524  1.12
000000   30300525  1.12
000000   30300526  1.12
000000   30300527  1.12
000000   30300528  1.12
000000   30300529  1.12
000000   30300530  1.12
000000   30300531  1.12
000000   30300532  1.12
000000   30300533  1.12
000000   30300534  1.12
000000   30300535  1.12
000000   30300599  1.46
000000   30300601  1.12
000000   30300602  1.12
000000   30300603  1.12
000000   30300604  1.12
000000   30300605  1.12
000000   30300606  1.12
000000   30300607  1.12
000000   30300610  1.12
000000   30300611  1.12
000000   30300613  1.12
000000   30300614  1.12
000000   30300615  1.12
000000   30300616  1.12
000000   30300617  1.12
000000   30300699  1.12
000000   30300701  1.12
000000   30300702  1.12
000000   30300703  1.12
000000   30300704  1.12
000000   30300801  1.19
000000   30300802  1.19
000000   30300804  1.12
000000   30300805  1.12
000000   30300808  1.12
000000   30300809  1.12
000000   30300811  4.22
000000   30300812  1.12
000000   30300813  4.22
000000   30300814  1.12
000000   30300815  1.12
000000   30300816  1.12
000000   30300817  1.12
000000   30300818  1.12
000000   30300819  4.22
000000   30300820  1.12
000000   30300821  1.12
000000   30300822  4.22
000000   30300823  1.12
000000   30300824  4.22
000000   30300825  1.46
000000   30300826  1.12
000000   30300827  1.12
000000   30300831  1.12
000000   30300832  1.12
000000   30300833  1.12
000000   30300834  1.12
000000   30300841  1.12
000000   30300842  1.12
000000   30300899  1.46
000000   30300904  1.12
000000   30300910  1.12
000000   30300912  1.12
000000   30300913  1.12
000000   30300914  1.12
000000   30300916  1.19
000000   30300917  1.19
000000   30300918  1.19
000000   30300919  1.19
000000   30300920  1.46
000000   30300922  1.12
000000   30300924  1.12
000000   30300932  1.12
000000   30300934  2.27
000000   30300998  1.46
000000   30300999  1.46
000000   30301001  1.12
000000   30301002  1.12
000000   30301003  1.12
000000   30301004  1.12
000000   30301005  1.12
000000   30301006  1.12
000000   30301007  1.12
000000   30301008  1.12
000000   30301010  1.12
000000   30301011  1.12
000000   30301012  1.12
000000   30301013  1.12
000000   30301014  1.12
000000   30301015  1.12
000000   30301016  1.12
000000   30301017  1.12
000000   30301018  1.12
000000   30301019  1.12
000000   30301020  1.12
000000   30301021  1.12
000000   30301022  1.12
000000   30301023  1.12
000000   30301024  1.12
000000   30301025  1.12
000000   30301026  1.12
000000   30301099  1.46
000000   30301101  1.12
000000   30301102  1.12
000000   30301199  1.46
000000   30301201  1.12
000000   30301202  2.27
000000   30301299  2.27
000000   30301301  1.12
000000   30301401  1.12
000000   30301402  2.27
000000   30301403  2.27
000000   30301499  1.46
000000   30302301  1.12
000000   30302302  1.12
000000   30302303  1.12
000000   30302304  1.12
000000   30302305  1.12
000000   30302306  1.12
000000   30302307  1.12
000000   30302308  1.12
000000   30302309  1.12
000000   30302310  1.12
000000   30302311  1.12
000000   30302312  2.27
000000   30302313  1.12
000000   30302314  2.42
000000   30302315  1.12
000000   30302316  1.12
000000   30302321  1.12
000000   30302322  1.12
000000   30302401  1.12
000000   30302402  1.12
000000   30302403  1.12
000000   30302404  1.12
000000   30302405  1.12
000000   30302406  1.12
000000   30302407  1.12
000000   30302408  1.12
000000   30302409  1.12
000000   30302410  1.12
000000   30302411  2.27
000000   30303002  1.12
000000   30303003  1.12
000000   30303005  1.12
000000   30303006  1.12
000000   30303007  1.12
000000   30303008  1.12
000000   30303009  1.12
000000   30303010  1.12
000000   30303011  1.12
000000   30303012  1.12
000000   30303014  1.12
000000   30303015  1.12
000000   30303016  1.12
000000   30303099  1.46
000000   30388801  1.46
000000   30388802  1.46
000000   30388803  1.46
000000   30388804  1.46
000000   30388805  1.46
000000   30390002  1.12
000000   30390003  2.27
000000   30390004  1.40
000000   30390012  1.12
000000   30390013  2.27
000000   30390014  1.40
000000   30390022  1.12
000000   30390023  2.00
000000   30399999  1.46
000000   30400104  1.12
000000   30400105  1.12
000000   30400106  1.12
000000   30400107  1.12
000000   30400108  1.12
000000   30400207  2.27
000000   30400208  2.14
000000   30400209  2.27
000000   30400210  1.19
000000   30400211  1.19
000000   30400212  1.19
000000   30400221  1.12
000000   30400223  1.12
000000   30400224  1.12
000000   30400230  1.12
000000   30400231  1.12
000000   30400232  1.12
000000   30400233  1.12
000000   30400234  1.12
000000   30400235  1.12
000000   30400236  1.12
000000   30400237  1.12
000000   30400238  1.12
000000   30400239  1.12
000000   30400303  1.12
000000   30400315  1.12
000000   30400340  1.12
000000   30400341  1.12
000000   30400342  1.12
000000   30400350  1.12
000000   30400352  1.12
000000   30400356  1.12
000000   30400357  1.12
000000   30400358  1.12
000000   30400360  1.12
000000   30400401  1.12
000000   30400402  1.12
000000   30400403  1.12
000000   30400404  1.12
000000   30400405  1.12
000000   30400408  1.12
000000   30400409  1.12
000000   30400410  1.12
000000   30400411  1.12
000000   30400412  1.12
000000   30400413  1.12
000000   30400414  1.12
000000   30400505  1.12
000000   30400506  1.12
000000   30400507  1.12
000000   30400508  1.12
000000   30400509  1.12
000000   30400510  1.12
000000   30400511  1.12
000000   30400512  1.12
000000   30400513  1.12
000000   30400521  1.12
000000   30400522  1.12
000000   30400523  1.12
000000   30400524  1.12
000000   30400525  1.12
000000   30400526  1.12
000000   30400527  1.12
000000   30400528  1.12
000000   30400705  1.12
000000   30400706  1.12
000000   30400711  1.12
000000   30400712  1.12
000000   30400713  1.12
000000   30400716  1.12
000000   30400721  1.12
000000   30400722  1.12
000000   30400723  1.12
000000   30400724  1.12
000000   30400725  1.12
000000   30400726  1.12
000000   30400801  1.12
000000   30400812  1.12
000000   30400814  1.12
000000   30400818  1.12
000000   30400840  1.12
000000   30400851  1.12
000000   30400852  1.12
000000   30400853  1.12
000000   30400854  1.12
000000   30400855  1.12
000000   30400866  1.12
000000   30400871  1.12
000000   30400872  1.12
000000   30400873  1.12
000000   30400874  1.12
000000   30400875  1.12
000000   30400876  1.12
000000   30400877  1.12
000000   30401001  2.27
000000   30401002  1.12
000000   30401004  2.27
000000   30401005  1.12
000000   30401006  1.12
000000   30401010  1.12
000000   30401011  1.12
000000   30402002  1.12
000000   30402003  1.12
000000   30402004  1.58
000000   30402201  2.27
000000   30404901  1.12
000000   30490002  1.12
000000   30490003  2.27
000000   30490004  1.40
000000   30490012  1.12
000000   30490013  2.27
000000   30490014  1.40
000000   30490022  1.12
000000   30490023  2.00
000000   30490032  1.12
000000   30490033  2.27
000000   30490034  1.40
000000   30500104  1.36
000000   30500105  1.36
000000   30500112  1.01
000000   30500198  1.26
000000   30500201  2.27
000000   30500202  1.25
000000   30500205  1.12
000000   30500206  2.27
000000   30500207  2.27
000000   30500208  2.27
000000   30500209  2.27
000000   30500211  2.27
000000   30500301  1.58
000000   30500302  1.12
000000   30500303  1.12
000000   30500304  2.27
000000   30500307  1.58
000000   30500308  1.12
000000   30500309  1.12
000000   30500310  1.77
000000   30500311  2.27
000000   30500312  1.12
000000   30500313  1.22
000000   30500314  2.27
000000   30500315  1.12
000000   30500316  1.22
000000   30500321  1.12
000000   30500398  1.26
000000   30500399  1.26
000000   30500401  1.12
000000   30500402  1.12
000000   30500403  1.12
000000   30500404  1.12
000000   30500405  1.12
000000   30500406  1.12
000000   30500499  1.26
000000   30500501  1.58
000000   30500502  1.12
000000   30500503  1.12
000000   30500504  1.58
000000   30500505  1.26
000000   30500598  1.26
000000   30500599  1.26
000000   30500606  1.58
000000   30500607  1.12
000000   30500608  1.12
000000   30500609  1.12
000000   30500610  1.12
000000   30500611  1.12
000000   30500612  1.12
000000   30500613  1.12
000000   30500614  1.12
000000   30500615  1.12
000000   30500616  1.12
000000   30500617  1.12
000000   30500618  1.12
000000   30500619  1.12
000000   30500699  1.26
000000   30500706  1.12
000000   30500707  1.12
000000   30500708  1.12
000000   30500709  1.12
000000   30500710  1.12
000000   30500711  1.12
000000   30500712  1.12
000000   30500714  1.12
000000   30500715  1.12
000000   30500716  1.12
000000   30500717  1.12
000000   30500718  1.12
000000   30500719  1.12
000000   30500799  1.26
000000   30500801  1.58
000000   30500802  1.12
000000   30500803  1.12
000000   30500899  1.26
000000   30500901  2.27
000000   30500902  2.27
000000   30500903  2.27
000000   30500904  1.12
000000   30500905  1.12
000000   30500906  1.12
000000   30500907  1.12
000000   30500908  1.12
000000   30500909  1.12
000000   30500910  1.12
000000   30500915  1.58
000000   30500916  1.58
000000   30500917  1.12
000000   30500999  1.26
000000   30501001  1.58
000000   30501002  1.58
000000   30501003  1.58
000000   30501004  1.58
000000   30501005  1.58
000000   30501006  1.58
000000   30501007  1.58
000000   30501008  1.12
000000   30501009  1.12
000000   30501010  1.12
000000   30501011  1.12
000000   30501012  1.12
000000   30501013  1.12
000000   30501014  1.12
000000   30501015  1.12
000000   30501016  1.12
000000   30501017  1.12
000000   30501021  1.12
000000   30501022  1.12
000000   30501023  1.12
000000   30501024  1.12
000000   30501030  1.12
000000   30501031  1.12
000000   30501032  1.12
000000   30501033  1.12
000000   30501034  1.12
000000   30501035  1.12
000000   30501036  1.12
000000   30501037  1.12
000000   30501038  1.12
000000   30501039  1.12
000000   30501040  1.12
000000   30501041  1.12
000000   30501042  1.12
000000   30501043  1.12
000000   30501044  1.12
000000   30501045  1.12
000000   30501046  1.12
000000   30501047  1.12
000000   30501048  1.12
000000   30501049  1.12
000000   30501050  1.12
000000   30501090  1.12
000000   30501099  1.26
000000   30501101  1.12
000000   30501106  1.12
000000   30501107  1.12
000000   30501108  1.12
000000   30501109  1.12
000000   30501110  1.12
000000   30501111  1.12
000000   30501112  1.12
000000   30501113  1.12
000000   30501114  1.12
000000   30501115  1.12
000000   30501120  1.12
000000   30501199  1.26
000000   30501201  1.26
000000   30501202  1.26
000000   30501203  1.26
000000   30501204  1.26
000000   30501205  1.26
000000   30501206  1.26
000000   30501207  1.12
000000   30501208  1.26
000000   30501209  1.26
000000   30501211  1.26
000000   30501212  1.26
000000   30501213  1.12
000000   30501214  1.12
000000   30501215  1.12
000000   30501221  1.12
000000   30501222  1.12
000000   30501223  1.12
000000   30501224  1.12
000000   30501299  1.26
000000   30501301  1.26
000000   30501399  1.26
000000   30501401  1.26
000000   30501402  1.26
000000   30501403  1.26
000000   30501404  1.26
000000   30501406  1.26
000000   30501407  1.12
000000   30501408  1.26
000000   30501410  1.12
000000   30501411  1.26
000000   30501412  1.26
000000   30501413  1.12
000000   30501414  1.58
000000   30501415  1.12
000000   30501499  1.26
000000   30501501  1.58
000000   30501502  1.12
000000   30501503  1.58
000000   30501504  1.12
000000   30501505  1.12
000000   30501506  1.12
000000   30501507  1.12
000000   30501508  1.12
000000   30501509  1.12
000000   30501510  1.12
000000   30501511  1.58
000000   30501512  1.58
000000   30501513  1.58
000000   30501514  1.12
000000   30501515  1.12
000000   30501516  1.12
000000   30501517  1.12
000000   30501518  1.12
000000   30501519  1.12
000000   30501520  1.58
000000   30501521  1.12
000000   30501522  1.12
000000   30501599  1.26
000000   30501601  1.12
000000   30501602  1.12
000000   30501603  1.58
000000   30501604  1.58
000000   30501605  1.58
000000   30501606  1.58
000000   30501607  1.12
000000   30501608  1.12
000000   30501609  1.12
000000   30501610  1.12
000000   30501611  1.12
000000   30501612  1.12
000000   30501613  1.12
000000   30501614  1.12
000000   30501615  1.12
000000   30501616  1.12
000000   30501617  1.58
000000   30501699  1.26
000000   30501701  1.12
000000   30501702  1.12
000000   30501703  1.58
000000   30501704  1.58
000000   30501705  1.58
000000   30501799  1.58
000000   30501801  1.12
000000   30501899  1.58
000000   30501901  1.58
000000   30501902  1.12
000000   30501903  1.12
000000   30501904  1.12
000000   30501905  1.12
000000   30501906  1.58
000000   30501907  1.12
000000   30501999  1.26
000000   30502001  1.12
000000   30502002  1.12
000000   30502003  1.12
000000   30502004  1.12
000000   30502005  1.12
000000   30502006  1.12
000000   30502007  1.12
000000   30502008  1.12
000000   30502009  1.12
000000   30502010  1.12
000000   30502011  1.12
000000   30502012  1.12
000000   30502013  1.12
000000   30502014  1.12
000000   30502015  1.12
000000   30502016  1.12
000000   30502020  1.12
000000   30502099  1.12
000000   30502101  1.12
000000   30502102  1.58
000000   30502103  1.12
000000   30502104  1.12
000000   30502105  1.12
000000   30502106  1.12
000000   30502201  1.12
000000   30502299  1.58
000000   30502401  1.12
000000   30502499  1.12
000000   30502501  1.12
000000   30502502  1.12
000000   30502503  1.12
000000   30502504  1.12
000000   30502505  1.12
000000   30502506  1.12
000000   30502507  1.12
