VOC              TOG
000000 2201001112  1.13
000000 2201001113  1.13
000000 2201001114  1.13
000000 2201001130  1.13
000000 2201001131  1.13
000000 2201001132  1.13
000000 2201001133  1.13
000000 2201001134  1.13
000000 2201001150  1.13
000000 2201001151  1.13
000000 2201001152  1.13
000000 2201001153  1.13
000000 2201001154  1.13
000000 2201001170  1.13
000000 2201001171  1.13
000000 2201001172  1.13
000000 2201001173  1.13
000000 2201001174  1.13
000000 2201001190  1.13
000000 2201001191  1.13
000000 2201001192  1.13
000000 2201001193  1.13
000000 2201001194  1.13
000000 2201001210  1.13
000000 2201001211  1.13
000000 2201001212  1.13
000000 2201001213  1.13
000000 2201001214  1.13
000000 2201001230  1.13
000000 2201001231  1.13
000000 2201001232  1.13
000000 2201001233  1.13
000000 2201001234  1.13
000000 2201001250  1.13
000000 2201001251  1.13
000000 2201001252  1.13
000000 2201001253  1.13
000000 2201001254  1.13
000000 2201001270  1.13
000000 2201001271  1.13
000000 2201001272  1.13
000000 2201001273  1.13
000000 2201001274  1.13
000000 2201001290  1.13
000000 2201001291  1.13
000000 2201001292  1.13
000000 2201001293  1.13
000000 2201001294  1.13
000000 2201001310  1.13
000000 2201001311  1.13
000000 2201001312  1.13
000000 2201001313  1.13
000000 2201001314  1.13
000000 2201001330  1.13
000000 2201001331  1.13
000000 2201001332  1.13
000000 2201001333  1.13
000000 2201001334  1.13
000000 2201020000  1.13
000000 2201020110  1.13
000000 2201020111  1.13
000000 2201020112  1.13
000000 2201020113  1.13
000000 2201020114  1.13
000000 2201020130  1.13
000000 2201020131  1.13
000000 2201020132  1.13
000000 2201020133  1.13
000000 2201020134  1.13
000000 2201020150  1.13
000000 2201020151  1.13
000000 2201020152  1.13
000000 2201020153  1.13
000000 2201020154  1.13
000000 2201020170  1.13
000000 2201020171  1.13
000000 2201020172  1.13
000000 2201020173  1.13
000000 2201020174  1.13
000000 2201020190  1.13
000000 2201020191  1.13
000000 2201020192  1.13
000000 2201020193  1.13
000000 2201020194  1.13
000000 2201020210  1.13
000000 2201020211  1.13
000000 2201020212  1.13
000000 2201020213  1.13
000000 2201020214  1.13
000000 2201020230  1.13
000000 2201020231  1.13
000000 2201020232  1.13
000000 2201020233  1.13
000000 2201020234  1.13
000000 2201020250  1.13
000000 2201020251  1.13
000000 2201020252  1.13
000000 2201020253  1.13
000000 2201020254  1.13
000000 2201020270  1.13
000000 2201020271  1.13
000000 2201020272  1.13
000000 2201020273  1.13
000000 2201020274  1.13
000000 2201020290  1.13
000000 2201020291  1.13
000000 2201020292  1.13
000000 2201020293  1.13
000000 2201020294  1.13
000000 2201020310  1.13
000000 2201020311  1.13
000000 2201020312  1.13
000000 2201020313  1.13
000000 2201020314  1.13
000000 2201020330  1.13
000000 2201020331  1.13
000000 2201020332  1.13
000000 2201020333  1.13
000000 2201020334  1.13
000000 2201040000  1.13
000000 2201040110  1.13
000000 2201040111  1.13
000000 2201040112  1.13
000000 2201040113  1.13
000000 2201040114  1.13
000000 2201040130  1.13
000000 2201040131  1.13
000000 2201040132  1.13
000000 2201040133  1.13
000000 2201040134  1.13
000000 2201040150  1.13
000000 2201040151  1.13
000000 2201040152  1.13
000000 2201040153  1.13
000000 2201040154  1.13
000000 2201040170  1.13
000000 2201040171  1.13
000000 2201040172  1.13
000000 2201040173  1.13
000000 2201040174  1.13
000000 2201040190  1.13
000000 2201040191  1.13
000000 2201040192  1.13
000000 2201040193  1.13
000000 2201040194  1.13
000000 2201040210  1.13
000000 2201040211  1.13
000000 2201040212  1.13
000000 2201040213  1.13
000000 2201040214  1.13
000000 2201040230  1.13
000000 2201040231  1.13
000000 2201040232  1.13
000000 2201040233  1.13
000000 2201040234  1.13
000000 2201040250  1.13
000000 2201040251  1.13
000000 2201040252  1.13
000000 2201040253  1.13
000000 2201040254  1.13
000000 2201040270  1.13
000000 2201040271  1.13
000000 2201040272  1.13
000000 2201040273  1.13
000000 2201040274  1.13
000000 2201040290  1.13
000000 2201040291  1.13
000000 2201040292  1.13
000000 2201040293  1.13
000000 2201040294  1.13
000000 2201040310  1.13
000000 2201040311  1.13
000000 2201040312  1.13
000000 2201040313  1.13
000000 2201040314  1.13
000000 2201040330  1.13
000000 2201040331  1.13
000000 2201040332  1.13
000000 2201040333  1.13
000000 2201040334  1.13
000000 2201080000  1.13
000000 2201080110  1.13
