# Speciation profile for CMAQ
#   RADM speciation for TOG only (not VOC)
#   PM2.5 speciation for CMAQ species
#   Additional special SO2 profiles that generate SULF (not mass conserving)
#
#   Revision history
#     Created 10/15/01
#     BEIS 3.09 profile created 4/1/01 and added 8/3/03
#     AXQ added for BC/OC  2008.01.28
#     AXQ modified for ind liv for EC/OC 2008/03
#     AXQ added for VOC profile (for china_Cao) 
0011  TOG              OLT              0.00046934305             1      0.02
0011  TOG              TOL               0.0006048793             1     0.148
0012  TOG              CH4              0.00985037406             1     0.158
0013  TOG              CH4              0.04569825436             1     0.733
0013  TOG              ETH               0.0009976721             1      0.03
0013  TOG              HC3              0.00194946237             1     0.148
0013  TOG              OL2              0.00210338681             1     0.059
0013  TOG              OLT              0.00071292776             1      0.03
0014  TOG              HC5              0.00077651427             1      0.07
0014  TOG              HC8              0.00337634731             1     0.358
0014  TOG              TOL              0.00090086214             1     0.172
0016  TOG              CH4               0.0069201995             1     0.111
0016  TOG              HC3              0.00469571429             1     0.399
0023  TOG              ETH              0.00033255737             1      0.01
0023  TOG              HC3              0.00584238896             1      0.39
0023  TOG              HC5              0.00393805973             1      0.32
0023  TOG              HC8              0.00244051226             1      0.26
0023  TOG              OL2              0.00071301248             1      0.02
0024  TOG              CH4              0.01327930175             1     0.213
0024  TOG              ETH              0.00179580978             1     0.054
0024  TOG              HC3              0.00324053204             1     0.225
0024  TOG              HC5              0.00224203255             1     0.182
0024  TOG              HC8              0.00147253751             1     0.169
0024  TOG              OL2              0.00010695187             1     0.003
0024  TOG              OLI              0.00003564808             1    0.0025
0024  TOG              OLT              0.00221477816             1    0.1245
0024  TOG              TOL              0.00023621691             1     0.027
0025  TOG              CH4               0.0349127182             1      0.56
0025  TOG              HC3              0.00196352187             1      0.13
0025  TOG              HC5               0.0020984566             1      0.16
0025  TOG              HC8              0.00011228612             1      0.01
0025  TOG              HCHO             0.00266400266             1      0.08
0025  TOG              TOL               0.0003671058             1      0.06
0026  TOG              CH4              0.00978802993             1     0.157
0026  TOG              ETH              0.00152976388             1     0.046
0026  TOG              HC3              0.00418017637             1     0.268
0026  TOG              HC5              0.00333224637             1     0.279
0026  TOG              HC8              0.00035609533             1     0.037
0026  TOG              OL2              0.00071301248             1      0.02
0026  TOG              OLT              0.00197831205             1     0.098
0026  TOG              TOL              0.00035635642             1     0.095
0029  TOG              CH4              0.02244389027             1      0.36
0029  TOG              HC5              0.00144209793             1      0.13
0029  TOG              HCHO             0.01698301698             1      0.51
0031  TOG              CH4              0.00180798005             1     0.029
0031  TOG              ETH              0.00056534752             1     0.017
0031  TOG              HC3              0.00381259187             1     0.247
0031  TOG              HC5                0.005601716             1     0.462
0031  TOG              HC8              0.00206441834             1     0.221
0031  TOG              TOL              0.00009002689             1     0.024
0035  TOG              HC5              0.01325017325             1         1
0039  TOG              CH4              0.00829177057             1     0.133
0039  TOG              ETH              0.00186232125             1     0.056
0039  TOG              HC3              0.00738966904             1     0.492
0039  TOG              HC5              0.00276773948             1     0.218
0039  TOG              HC8              9.43113772E-6             1     0.001
0039  TOG              OLT              0.00230512037             1       0.1
0047  TOG              ETH               0.0013634852             1     0.041
0047  TOG              HC3              0.01070525706             1     0.908
0047  TOG              OLT              0.00121197719             1     0.051
0051  TOG              CH4              0.01246882793             1       0.2
0051  TOG              ETH              0.00997672098             1       0.3
0051  TOG              HC3              0.00353061224             1       0.3
0051  TOG              HCHO             0.00666000666             1       0.2
0066  TOG              HC8              0.00028580852             1      0.03
0066  TOG              KET              0.00912209181             1      0.97
0068  TOG              OLT              0.02376425856             1         1
0072  TOG              HC3              0.00128978469             1     0.075
0072  TOG              HC5              0.00760228929             1      0.45
0072  TOG              HC8              0.00280254508             1   0.28205
0072  TOG              KET              0.00093296844             1     0.105
0072  TOG              TOL               0.0002825657             1      0.03
0072  TOG              XYL               0.0004620817             1   0.05795
0076  TOG              HC3              0.00117384637             1     0.076
0076  TOG              HC5              0.00214374212             1     0.181
0076  TOG              HC8              0.00293517647             1    0.3065
0076  TOG              TOL              0.00100404027             1     0.173
0076  TOG              XYL              0.00153124954             1    0.1635
0078  TOG              HC3              0.00078819725             1         1
0079  TOG              ALD              0.00026985195             1     0.015
0079  TOG              CSL              0.00021251727             1      0.02
0079  TOG              HC3               0.0017011072             1     0.138
0079  TOG              HC5              0.00123069141             1     0.066
0079  TOG              HC8              0.00020211502             1     0.018
0079  TOG              HCHO             0.00056610057             1     0.017
0079  TOG              OL2              0.00770053476             1     0.216
0079  TOG              OLI              0.00079308501             1    0.0445
0079  TOG              OLT              0.00390570605             1    0.2005
0079  TOG              ORA2             0.00005652174             1     0.013
0079  TOG              TOL              0.00098331318             1     0.158
0079  TOG              XYL              0.00012244514             1     0.013
0085  TOG              HC3              0.00047036121             1         1
0090  TOG              TOL              0.01085304971             1         1
0100  TOG              HC8              0.00630035303             1         1
0121  TOG              HC3              0.00110415643             1     0.076
0121  TOG              HC5              0.00179368878             1     0.158
0121  TOG              HC8               0.0024525722             1     0.277
0121  TOG              OL2              0.00691622103             1     0.194
0121  TOG              OLI              0.00084129474             1     0.059
0121  TOG              OLT              0.00357539019             1     0.236
0122  TOG              CH4              0.05012468828             1     0.804
0122  TOG              ETH              0.00089790489             1     0.027
0122  TOG              OL2              0.00310160428             1     0.087
0122  TOG              OLT              0.00011882129             1     0.005
0122  TOG              TOL              0.00028883626             1     0.077
0127  TOG              HC8              0.00028580852             1      0.03
0127  TOG              KET              0.00912209181             1      0.97
0166  TOG              CH4              0.03927680798             1      0.63
0166  TOG              ETH              0.00798137679             1      0.24
0166  TOG              HC3              0.00157810863             1      0.13
0182  TOG              HC3              0.00075655431             1      0.06
0182  TOG              HC5              0.00268377991             1       0.2
0182  TOG              HC8              0.00560509016             1    0.5641
0182  TOG              TOL              0.00056513139             1      0.06
0182  TOG              XYL              0.00092416339             1    0.1159
0183  TOG              HC8              0.00729460789             1    0.7553
0183  TOG              TOL              0.00141089646             1      0.13
0183  TOG              XYL              0.00103201742             1    0.1147
0195  TOG              CH4              0.06234413965             1         1
0197  TOG              HC3              0.01061068185             1     0.422
0197  TOG              HC5              0.00700674746             1     0.398
0197  TOG              HC8              0.00161135253             1   0.15595
0197  TOG              HCHO              0.0001998002             1     0.006
0197  TOG              KET              0.00006098485             1     0.014
0197  TOG              XYL              0.00003552632             1   0.00405
0202  TOG              CH4              0.06153366584             1     0.987
0202  TOG              ETH              0.00003325574             1     0.001
0202  TOG              HC3              0.00006293891             1     0.007
0202  TOG              HC5                0.000026882             1     0.002
0202  TOG              OLI              3.66999413E-6             1    0.0005
0202  TOG              OLT              3.66999413E-6             1    0.0005
0202  TOG              TOL              0.00001085305             1     0.001
0202  TOG              XYL              9.41885655E-6             1     0.001
0203  TOG              CH4              0.04364089776             1       0.7
0203  TOG              ETH              0.00665114732             1       0.2
0203  TOG              HC3              0.00052745822             1      0.02
0203  TOG              HC5              0.00056825311             1      0.04
0203  TOG              HC8              0.00039530502             1      0.02
0203  TOG              KET              0.00008712121             1      0.02
0217  TOG              CH4              0.02549875312             1     0.409
0217  TOG              ETH              0.00046558031             1     0.014
0217  TOG              OL2              0.00099821747             1     0.028
0217  TOG              OLT              0.00244765087             1     0.119
0217  TOG              TOL              0.00161298169             1      0.43
0219  TOG              KET              0.00435606061             1         1
0220  TOG              HC3              0.00458517762             1         1
0221  TOG              KET              0.01386770212             1         1
0222  TOG              HC8               0.0076498184             1         1
0223  TOG              XYL              0.00941885655             1         1
0225  TOG              HC8              0.00687018417             1         1
0226  TOG              HC3              0.02637291079             1         1
0227  TOG              HC5              0.01788685524             1         1
0228  TOG              HC3              0.01189660237             1         1
0229  TOG              HC8              0.00878868421             1      0.91
0229  TOG              XYL              0.00078947368             1      0.09
0230  TOG              HC5              0.01109306104             1         1
0271  TOG              HC3              0.00059365248             1         1
0272  TOG              HC5              0.00064339754             1     0.058
0272  TOG              HC8              0.00920241271             1      0.91
0272  TOG              TOL              0.00014844356             1     0.032
0273  TOG              HC5              0.00643905293             1      0.58
0273  TOG              HC8              0.00384781902             1     0.343
0273  TOG              TOL              0.00028883626             1     0.077
0274  TOG              HC8              0.00962451952             1         1
0282  TOG              HC8              0.00878868421             1      0.91
0282  TOG              XYL              0.00078947368             1      0.09
0288  TOG              HC5              0.00925447658             1         1
0289  TOG              HC5              0.01450350783             1         1
0290  TOG              HC8               0.0112183755             1         1
0291  TOG              HC3              0.01260923845             1         1
0296  TOG              CH4              0.00386533666             1     0.062
0296  TOG              ETH              0.00186232125             1     0.056
0296  TOG              HC3               0.0068149952             1     0.462
0296  TOG              HC5              0.00300962972             1      0.24
0296  TOG              HC8              0.00160570982             1     0.179
0296  TOG              TOL              3.75112022E-6             1     0.001
0297  TOG              CH4              0.00548628429             1     0.088
0297  TOG              ETH              0.00089790489             1     0.027
0297  TOG              HC3              0.00688726018             1     0.462
0297  TOG              HC5              0.00390940688             1     0.311
0297  TOG              HC8              0.00069327077             1     0.074
0297  TOG              TOL              0.00024196958             1     0.038
0299  TOG              HC8              0.01122861217             1         1
0301  TOG              HC8              0.00943113772             1         1
0304  TOG              HC5              0.01788685524             1         1
0305  TOG              CH4              0.00162094763             1     0.026
0305  TOG              ETH              0.00123046225             1     0.037
0305  TOG              HC3              0.00686854043             1      0.46
0305  TOG              HC5              0.00342747142             1     0.273
0305  TOG              HC8              0.00181275004             1     0.204
0307  TOG              CH4              0.00612219451             1    0.0982
0307  TOG              ETH              0.00348187562             1    0.1047
0307  TOG              HC3              0.00120569439             1     0.091
0307  TOG              HC5              0.00012989773             1    0.0056
0307  TOG              OL2              0.00681283422             1    0.1911
0307  TOG              OLI              0.00017811789             1    0.0098
0307  TOG              OLT              0.00118451717             1    0.0537
0316  TOG              CH4              0.01783042394             1     0.286
0316  TOG              ETH              0.00192883272             1     0.058
0316  TOG              HC3              0.00561609923             1     0.372
0316  TOG              HC5              0.00260842991             1     0.205
0316  TOG              HC8              0.00058310808             1      0.07
0316  TOG              OLT              0.00002376426             1     0.001
0316  TOG              TOL              0.00005801637             1     0.006
0316  TOG              XYL              0.00001883771             1     0.002
0321  TOG              CH4              0.00205735661             1     0.033
0321  TOG              ETH              0.00039906884             1     0.012
0321  TOG              HC3              0.00191162938             1     0.126
0321  TOG              HC5              0.00417563574             1     0.342
0321  TOG              HC8              0.00363611047             1     0.439
0321  TOG              TOL              0.00034434709             1     0.035
0321  TOG              XYL              0.00012244514             1     0.013
0332  TOG              CH4              0.01066084788             1     0.171
0332  TOG              HCHO             0.00725940726             1     0.218
0332  TOG              OL2              0.00071301248             1      0.02
0332  TOG              OLT              0.01210544996             1     0.591
0333  TOG              CH4              0.02347880299             1    0.3766
0333  TOG              ETH              0.00332224809             1    0.0999
0333  TOG              HC3              0.00259269632             1    0.1659
0333  TOG              HC5               0.0001609817             1     0.009
1001  TOG              ALD               9.5839831E-6             1    0.0005
1001  TOG              CH4               0.0478117207             1    0.7669
1001  TOG              ETH              0.00465580313             1      0.14
1001  TOG              HC3              0.00062292365             1    0.0467
1001  TOG              HC5              0.00004383265             1    0.0034
1001  TOG              HC8              0.00002411841             1    0.0027
1001  TOG              HCHO             0.00026973027             1    0.0081
1001  TOG              OL2              0.00022459893             1    0.0063
1001  TOG              OLI              0.00005556024             1   0.00335
1001  TOG              OLT              0.00043663621             1   0.01925
1001  TOG              TOL              9.40933777E-6             1    0.0016
1001  TOG              XYL              9.50468392E-6             1    0.0011
1002  TOG              CH4              0.01396508728             1     0.224
1002  TOG              HC3              0.00535528578             1     0.406
1002  TOG              OL2              0.00049910873             1     0.014
1003  TOG              HC3              0.00009353762             1    0.0204
1003  TOG              HC5              0.00098321552             1    0.1076
1003  TOG              HC8              0.00289197571             1     0.334
1003  TOG              KET              0.00056723596             1    0.0675
1003  TOG              OLT               0.0000133666             1    0.0015
1003  TOG              TOL              0.00416091175             1    0.3841
1003  TOG              XYL              0.00079531308             1    0.0848
1004  TOG              OLT              0.00432069131             1      0.45
1004  TOG              TOL              0.00526257697             1      0.55
1005  TOG              OLT              0.00480076812             1       0.5
1005  TOG              TOL              0.00480076812             1       0.5
1006  TOG              ORA2             0.00081886669             1       0.1
1006  TOG              XYL               0.0049926553             1       0.7
1007  TOG              HC8               0.0035720237             1    0.5362
1007  TOG              OLI              0.00030819852             1    0.0562
1007  TOG              XYL              0.00273311892             1    0.3683
1008  TOG              OLI              0.01109262341             1       0.6
1008  TOG              OLT              0.00192030725             1       0.2
1008  TOG              TOL              0.00192030725             1       0.2
1009  TOG              HC5              0.01215604975             1       0.6
1009  TOG              OLT              0.00192030725             1       0.2
1009  TOG              TOL              0.00192030725             1       0.2
1010  TOG              CH4              0.02887157107             1    0.4631
1010  TOG              ETH              0.00232457599             1    0.0699
1010  TOG              HC3              0.00219212908             1    0.1597
1010  TOG              HC5              0.00146475176             1    0.1237
1010  TOG              HC8              0.00163956251             1    0.1827
1010  TOG              TOL              3.75112022E-6             1     0.001
1011  TOG              CH4              0.02344139651             1     0.376
1011  TOG              ETH              0.00212836714             1     0.064
1011  TOG              HC3              0.00248237655             1     0.179
1011  TOG              HC5              0.00184022274             1     0.155
1011  TOG              HC8              0.00201826152             1     0.225
1011  TOG              TOL              3.75112022E-6             1     0.001
1012  TOG              CH4              0.03821695761             1     0.613
1012  TOG              ETH              0.00262720319             1     0.079
1012  TOG              HC3              0.00157019631             1     0.115
1012  TOG              HC5              0.00085509281             1     0.073
1012  TOG              HC8              0.00106773033             1     0.119
1012  TOG              TOL              3.75112022E-6             1     0.001
1013  TOG              HC5              0.00291375472             1    0.2009
1013  TOG              HC8              0.00090739479             1    0.0854
1013  TOG              KET              0.00009107628             1    0.0104
1013  TOG              TOL              0.00001350403             1    0.0036
1014  TOG              ETH              0.00002660459             1    0.0008
1014  TOG              HC3              0.00572170837             1    0.3526
1014  TOG              HC5              0.00581703216             1    0.4552
1014  TOG              HC8              0.00052713556             1    0.0527
1014  TOG              OLI              0.00115539301             1    0.0762
1014  TOG              OLT              0.00061826927             1    0.0427
1014  TOG              TOL               0.0001042813             1    0.0147
1014  TOG              XYL              0.00003455905             1    0.0039
1015  TOG              ALD              1.16103564E-6             1    0.0001
1015  TOG              ETH              0.00001330229             1    0.0004
1015  TOG              HC3              0.00669171666             1    0.4098
1015  TOG              HC5              0.00385116026             1    0.3037
1015  TOG              HC8              0.00122954048             1    0.1291
1015  TOG              OLI              0.00093030313             1    0.0625
1015  TOG              OLT               0.0004955877             1     0.036
1015  TOG              TOL              0.00031275024             1    0.0397
1015  TOG              XYL              0.00012570459             1    0.0137
1016  TOG              ALD               0.0001590078             1    0.0181
1016  TOG              HC5              0.00173613457             1    0.1418
1016  TOG              HC8              0.00363279253             1    0.4582
1016  TOG              KET              0.00056302871             1    0.0406
1016  TOG              OLI              0.00025593498             1    0.0359
1016  TOG              OLT              0.00043495906             1    0.0585
1016  TOG              TOL              0.00173942953             1    0.1615
1016  TOG              XYL              0.00030750265             1    0.0348
1017  TOG              HC5              0.00137891701             1     0.149
1017  TOG              HC8              0.00322621679             1    0.3518
1017  TOG              OLT              0.00010158617             1    0.0114
1017  TOG              TOL              0.00483937486             1    0.4459
1017  TOG              XYL               0.0003937082             1    0.0418
1018  TOG              HC3              0.00041083191             1    0.0896
1018  TOG              HC5              0.00132581591             1    0.1492
1018  TOG              HC8              0.00040201524             1    0.0383
1018  TOG              KET               0.0024833808             1    0.2956
1018  TOG              TOL              0.00194791992             1    0.1826
1018  TOG              XYL              0.00228963218             1    0.2447
1019  TOG              HC5              0.00077922693             1    0.0842
1019  TOG              HC8              0.00371124072             1    0.4358
1019  TOG              TOL              0.00480898633             1    0.4431
1019  TOG              XYL              0.00034661392             1    0.0368
1020  TOG              HC5              0.00752523464             1    0.5694
1020  TOG              HC8              0.00036156131             1    0.0322
1020  TOG              KET              0.00220737938             1    0.2525
1020  TOG              OLT               0.0012394585             1    0.1117
1020  TOG              TOL               0.0003711743             1    0.0342
1021  TOG              HC3              0.00791187324             1       0.3
1022  TOG              KET              0.00998402556             1         1
1023  TOG              HC3              0.01260545568             1    0.9997
1024  TOG              ALD              0.00191373439             1    0.0843
1024  TOG              HC3              0.01944521253             1    0.9074
1024  TOG              XYL              0.00007817651             1    0.0083
1025  TOG              ALD              0.00038365494             1    0.0169
1025  TOG              CH4              0.01074189526             1    0.1723
1025  TOG              HC3              0.00409017279             1      0.75
1025  TOG              ORA2             0.00030607432             1     0.027
1025  TOG              XYL              0.00031835735             1    0.0338
1026  TOG              HC8                0.008554747             1         1
1027  TOG              HC8              0.01364004317             1         1
1028  TOG              HC3              0.00700343507             1      0.46
1028  TOG              KET              0.00043560606             1       0.1
1028  TOG              OLT              0.00926784907             1      0.44
1029  TOG              ALD              0.00863337117             1    0.3803
1029  TOG              KET              0.00269945076             1    0.6197
1030  TOG              CH4              0.00266832918             1    0.0428
1030  TOG              HC3              0.00093686642             1    0.0743
1031  TOG              HC3              0.00917139614             1         1
1032  TOG              ALD               0.0187902932             1         1
