#GRID	AN_GRID	-2466000.000000	-2034000.000000	36000.000000	36000.000000	137	113	1	LAMBERT	meters	30.000000	60.000000	103.800000	103.800000	36.300000
  100	901058	   41	  110	0.01841362	!	32195245.126353	1748447342.687740	0.018414
  100	901058	   42	  110	0.06945927	!	121445879.448580	1748447342.687740	0.087873
  100	901058	   41	  111	0.16557433	!	289497997.023743	1748447342.687740	0.253447
  100	901058	   42	  111	0.51126545	!	893920715.056082	1748447342.687740	0.764713
  100	901058	   41	  112	0.02637742	!	46119531.838205	1748447342.687740	0.791090
  100	901058	   42	  112	0.20890991	!	365267974.194772	1748447342.687740	1.000000
  100	901059	   42	  110	0.08160374	!	142679844.211033	1748447342.687738	0.081604
  100	901059	   43	  110	0.12025476	!	210259113.930960	1748447342.687738	0.201859
  100	901059	   42	  111	0.22996362	!	402079284.943916	1748447342.687738	0.431822
  100	901059	   43	  111	0.44527023	!	778531556.144318	1748447342.687738	0.877092
  100	901059	   42	  112	0.03538492	!	61868668.144370	1748447342.687738	0.912477
  100	901059	   43	  112	0.08752272	!	153028875.313144	1748447342.687738	1.000000
  100	901060	   43	  110	0.16937919	!	296150600.146269	1748447342.687773	0.169379
  100	901060	   44	  110	0.14233505	!	248865341.031440	1748447342.687773	0.311714
  100	901060	   43	  111	0.29595884	!	517468443.855682	1748447342.687773	0.607673
  100	901060	   44	  111	0.37074083	!	648220827.398955	1748447342.687773	0.978414
  100	901060	   43	  112	0.01671043	!	29217312.238141	1748447342.687773	0.995124
  100	901060	   44	  112	0.00487565	!	8524818.017282	1748447342.687773	1.000000
  100	901061	   44	  110	0.28047647	!	490398330.385167	1748447342.687727	0.280476
  100	901061	   45	  110	0.13699967	!	239536701.807454	1748447342.687727	0.417476
  100	901061	   44	  111	0.33523727	!	586144719.702644	1748447342.687727	0.752713
  100	901061	   45	  111	0.24728660	!	432367590.792456	1748447342.687727	1.000000
  100	901062	   45	  110	0.41361600	!	723185801.815815	1748447342.687769	0.413616
  100	901062	   46	  110	0.10556271	!	184570840.207436	1748447342.687769	0.519179
